Study on signature verification process for the firmware of an android platform,Jeong2019540,2019,No
Two-phases detection scheme: Detecting android malware in android markets,019389,2019,Yes
"Array of things for smart health solutions injury prevention, performance enhancement and rehabilitation",shaSenanayake2019598,2019,No
A novel additive manufactured three-dimensional piezoelectric transducer: Systematic modeling and experimental validation,g2019346,2019,No
Design Variations for Improved Usability of Mobile Data Capture in Rural Uganda,:000450908300081,2019,No
On the impact of code smells on the energy consumption of mobile applications,OMBA201943,2019,Yes
A comparison of mobile form controls for different tasks,IZ201997,2019,No
Ordered CdSe-sensitized TiO2 inverse opal film as multifunctional surface-enhanced Raman scattering substrate,G2019357,2019,No
A real-time power monitoring and energy-efficient network/interface selection tool for android smartphones,SUZ2019107,2019,Yes
A context-sensitive offloading system using machine-learning classification algorithms for mobile cloud environment,IOR2019503,2019,No
A machine learning based approach to detect malicious android apps using discriminant system calls,19333,2019,Yes
Process state synchronization-based application execution management for mobile edge/cloud computing,ED2019579,2019,No
Exploring ``Internet+Recycling'': Mass balance and life cycle assessment of a waste management system associated with a mobile application,019172,2019,No
Data-bundling proxy to aggregate transmissions for energy-constrained devices,G2019114,2019,No
An intelligent machine vision-based smartphone app for beef quality evaluation,SEINPOUR20199,2019,No
EVAPO: A smartphone application to estimate potential evapotranspiration using cloud gridded meteorological data from NASA-POWER system,DONADO2019187,2019,No
An emotion regulation app for school inclusion of children with ASD: Design principles and evaluation,E20191,2019,No
Investigation of three-dimensional flow regime and mixing characteristic in T-jet reactor,NG20191561,2019,No
Improving CNN linear layers with power mean non-linearity,NG201912,2019,No
Optimized Hardware Accelerators for Data Mining Applications on Embedded Platforms: Case Study Principal Component Analysis,HROUZI2019,2019,No
Binary search tree based hierarchical placement algorithm for IoT based smart parking applications,ILKAYA201971,2019,No
PUFPass: A password management mechanism based on software/hardware codesign,2019173,2019,No
Preventing the propagation of a new kind of illegitimate apps,ET2019368,2019,No
(In)Secure Android Debugging: Security analysis and lessons learned,SIAK201980,2019,Yes
DelDroid: An automated approach for determination and enforcement of least-privilege architecture in android,MAD201983,2019,No
Securing android applications via edge assistant third-party library detection,G2019257,2019,Yes
Quality analysis of multi-GNSS raw observations and a velocity-aided positioning approach based on smartphones,2019,2019,No
BehaveSense: Continuous authentication for security-sensitive mobile apps using behavioral biometrics,G20199,2019,Yes
Inference attack in Android Activity based on program fingerprint,G201992,2019,Yes
How reliable are self-assessments using mobile technology in healthcare? The effects of technology identity and self-efficacy,CHAV201952,2019,No
Nature Inspired Power Optimization in smartphones,DEY2019470,2019,No
Comparative analysis of precise point positioning processing technique with GPS low-cost in different technologies with academic software,EROANDRADE2019337,2019,No
Drop computing: Ad-hoc dynamic collaborative computing,BANU2019889,2019,No
Does it last? Long-term impacts of an app-based behavior change intervention on household electricity savings in Switzerland,YSS201916,2019,No
Find me a safe zone: A countermeasure for channel state information based attacks,NG2019273,2019,No
Energy-aware environments for the development of green applications for cyber--physical systems,OZ2019536,2019,Yes
Development of real-time visual monitoring system for vibration effects on fresh concrete,N201961,2019,No
C5.0: Advanced Decision Tree (ADT) classification model for agricultural data analysis on cloud,ESWARI2019530,2019,No
Incorporation of a multi-modal interactive exercise on student pharmacists' perceptions of lifestyle modification in weight loss promotion,SUKHANI2019,2019,No
"Home-delivered attention bias modification training via smartphone to improve attention control in sub-clinical generalized anxiety disorder: A randomized, controlled multi-session experiment",G2019444,2019,No
An adaptive and configurable protection framework against android privilege escalation threats,019210,2019,Doubt
Combining Automated GUI Exploration of Android apps with Capture and Replay through Machine Learning,LFITANO201995,2019,Yes
Chapter 3.1 - Nonstandardized Lung Function Tests,LONSKI201949,2019,No
A mobile malware detection method using behavior features in network traffic,G2019,2019,Yes
Chapter One - Mobile Application Quality Assurance,L20191,2019,No
Feasibility Study of an EHR-Integrated Mobile Shared Decision Making Application,2019,2019,No
No wink of sleep: Population sleep characteristics in response to the brexit poll and the 2016 U.S. presidential election,Z2019112,2019,No
A holographic mobile-based application for practicing pronunciation of basic English vocabulary for Spanish speaking children,EZO201913,2019,No
Fast analysis of ketamine using a colorimetric immunosorbent assay on a paper-based analytical device,N2019251,2019,No
Smart sensor for automatic drip irrigation system for paddy cultivation,KUNAN2019180,2019,No
