(In)Secure Android Debugging: Security analysis and lessons learned,hor          = {Opasiak,2019,doubt
A Case Study of Automating User Experience-Oriented Performance Testing on Smartphones,9717,2013,doubt
A certified reference validation mechanism for the permission model of android,arte2018271,2018,doubt
A conceptual framework for the comparison of fully automated GUI testing techniques,lfitano201650,2016,no
A Context-aware Approach for Dynamic GUI Testing of Android Applications,:000380584300038,2015,doubt
A context-aware collaborative model for smartphone energy efficiency over 5G wireless networks,IN2017352,2017,no
A context-sensitive offloading system using machine-learning classification algorithms for mobile cloud environment,IOR2019503,2019,no
A formal android permission model based on the B method,2017381,2017,yes
A formal approach for detection of security flaws in the android permission system,:000441910000003,2018,doubt
A Framework to Model and Analyze the Performability of Mobile Software Systems,cchi:2004:FMA:974044.974082,2004,doubt
A Framework to Test Reliability and Security of Wi-Fi Device,:000366592100215,2014,doubt
A friend or a foe? Detecting malware using memory and CPU features,osevic201673,2016,yes
A generic energy optimization framework for heterogeneous platforms using scaling models,TA201674,2016,no
A GUI Crawling-Based Technique for Android Mobile Application Testing,lfitano2011,2011,doubt
A hybrid approach of mobile malware detection in Android,G201722,2017,yes
A machine learning based approach to detect malicious android apps using discriminant system calls,19333,2019,doubt
A Mechanism of Reliable and Standalone Script Generator on Android,9083,2017,doubt
A Methodology for Relating Software Structure with Energy Consumption,:000425267700012,2017,yes
A mobile malware detection method using behavior features in network traffic,G2019,2019,doubt
A multi-level usability evaluation of mobile health applications: A case study,201879,2018,doubt
A neural network approach to category validation of Android applications,rbanzadeh2013740,2013,doubt
A Novel Approach to Detect Android Malware,IN2015407,2015,yes
A novel pattern recognition system for detecting Android malware by analyzing suspicious boot sequences,AL2018198,2018,yes
A Novel Security Framework for Managing Android Permissions Using Blockchain Technology,:000429229200003,2018,doubt
A Permission verification approach for android mobile applications,eiatakis2015192,2015,yes
A practical approach to manage applications and prevent malware spreading in mobile environment,:000382964400194,2014,doubt
A pragmatic android malware detection procedure,UMBO2017689,2017,yes
"A Review on mobile application energy profiling: Taxonomy, state-of-the-art, and open research issues",AD201542,2015,doubt
A runtime-testing method for integer overflow detection based on metamorphic relations,20162349,2016,doubt
"A Scalable, Flow-and-Context-Sensitive Taint Analysis of Android Applications.",I2018,2018,doubt
A state machine for database non-functional testing,ra2014378,2014,no
A static technique for detecting input validation vulnerabilities in Android apps,g2017,2017,yes
A strategy to perform coverage testing of mobile applications,amaro2006118,2006,doubt
A structure similarity-based approach to malicious android app detection,2015,2015,yes
A survey of Android exploits in the wild,G201871,2018,doubt
A Top-Down Design Approach for an Automated Testing Framework,:000375991300004,2015,doubt
A Usability Testing Experiment For A Localized Weight Loss Mobile Application,SAR2012839,2012,doubt
Adaptive random testing of mobile application,g2010,2010,doubt
ADAutomation: An Activity Diagram Based Automated GUI Testing Framework for Smartphone Applications,5417,2014,doubt
Addressing mobile usability and elderly users: Validating contextualized heuristics,imaSalgado2017379,2017,yes
Advancing Energy Testing of Mobile Applications,barvand:2017:AET:3098344.3098511,2017,yes
"Affective-ready, contextual and automated usability test for mobile software",ho2016638,2016,yes
AGRippin: A Novel Search Based Testing Technique for Android Applications,lfitano:2015:ANS:2804345.2804348,2015,doubt
An adaptive and configurable protection framework against android privilege escalation threats,019210,2019,no
An analysis on sensitive data passive leakage in Android applications,9807,2015,doubt
An android malware detection framework-based on permissions and intents,ma2016618,2016,yes
An Android malware detection method based on AndroidManifest file,016239,2016,yes
An Android System Vulnerability Risk Evaluation Method for Heap Overflow,0477,2016,doubt
An automated testing approach for inter-application security in android,20148,2014,doubt
An automated testing framework for testing Android mobile applications in the cloud,:000380467200158,2014,doubt
An Automated Testing Platform for Mobile Applications,016159,2016,yes
An automatically vetting mechanism for SSL error-handling vulnerability in android hybrid Web apps,2018127,2018,doubt
An empirical analysis of android apps bug and automated testing approach for Android apps,20161,2016,doubt
An environment for automated measurement of energy consumed by mobile and embedded computing devices,AGARYAN2016103,2016,doubt
An in-depth analysis of Android malware using hybrid techniques,AKUS201825,2018,doubt
An input-centric performance model for computational offloading of mobile applications,n20181,2018,doubt
An integrated static detection and analysis framework for android,G201615,2016,yes
An Integrated Test Automation Framework for Testing on Heterogeneous Mobile Platforms,0017,2011,doubt
Analysing data security requirements of android mobile banking application,tnagar201830,2018,yes
"Analysis and Evaluation of SafeDroid v2.0, a Framework for Detecting Malicious Android Applications",yriou2018,2018,doubt
Analyzing GUI Running Fluency for Android Apps,ng:2016:AGR:2940353.2940356,2016,doubt
Andro-Dumpsys: Anti-malware system based on the similarity of malware creator and malware centric information,G2016125,2016,yes
Andro-Simnet: Android Malware Family Classification using Social Network Analysis,4216,2018,doubt
AndroDialysis: Analysis of Android Intent Effectiveness in Malware Detection,ZOLLAH2017121,2017,yes
Android application classification and anomaly detection with graph-based permission patterns,OLOVA201762,2017,yes
Android application development and testability,ch201437,2014,doubt
Android Applications Repackaging Detection Techniques for Smartphone Devices,TOGI201626,2016,doubt
Android architecture: attacking the weak points,SFIELDDEVINE20125,2012,doubt
Android based malware detection using a multifeature collaborative decision fusion approach,EN2015905,2015,yes
Android Driver Vulnerability Discovery Based on Black-Box Genetic Algorithm,0171031,2017,yes
Android forensics: Automated data collection and reporting from a mobile device,VER2013S12,2013,doubt
Android inter-app communication threats and detection techniques,NDARI2017392,2017,yes
Android malware classification base on application category using static code analysis,nordin20186853,2018,yes
"Android malware detection technology based on improved Na{\""{i}}ve Bayesian",01643,2016,no
Android malware detection through hybrid features fusion and ensemble classifiers: the AndroPyTool framework and the OmniDroid dataset,TIN2018,2018,doubt
Android malware detection with unbiased confidence guarantees,ADOPOULOS20183,2018,doubt
Android platform modeling and android app verification in the ACL2 theorem prover,th2016183,2016,doubt
Android resource usage risk assessment using hidden Markov model and online learning,HIDI201790,2017,yes
"Android single sign-on security: Issues, taxonomy and directions",2018402,2018,no
Android-SRV: Scenario-Based Runtime Verification of Android Applications,ng2018239,2018,doubt
AndroidFuzzer: Detecting android vulnerabilities in fuzzing cloud,0153859,2015,yes
AndroSimilar: Robust signature for detecting variants of Android malware,UKI201566,2015,yes
AndroTaint: An efficient android malware detection framework using dynamic taint analysis,6989,2017,yes
Anti-Hijack: Runtime Detection of Malware Initiated Hijacking in Android,NKAR2016587,2016,yes
APK Auditor: Permission-based Android malware detection system,HA20151,2015,yes
AppCheck: A Crowdsourced Testing Service for Android Applications,017253,2017,yes
Application Security Models for Mobile Agent Systems,ONALD200643,2006,doubt
Applying Security Assurance Techniques to a Mobile Phone Application: An Initial Approach,4462,2011,doubt
Appwrapping Providing fine-grained security policy enforcement per method unit in android,201736,2017,no
"APSET, an Android aPplication SEcurity Testing tool for detecting intent-based vulnerabilities",va2015201,2015,yes
Are mobile botnets a possible threat? The case of SlowBot Net,INA2016268,2016,doubt
ASF: Improving android security with layered structure instrumentation,ng2013147,2013,doubt
Automated detection and repair of incompatible uses of runtime permissions in Android apps,hara201867,2018,yes
Automated GUI Testing of Android Apps: From Research to Practice,an:2017:AGT:3098344.3098518,2017,no
Automated identification of installed malicious Android applications,DO2013S96,2013,yes
Automated Mobile UI Test Fragility: An Exploratory Assessment Study on Android,pola:2016:AMU:2945404.2945406,2016,doubt
Automated Model-Based Android GUI Testing using Multi-level GUI Comparison Criteria,:000390237000026,2016,yes
Automated parallel GUI testing as a service for mobile applications,2018,2018,doubt
Automated poisoning attacks and defenses in malware detection systems: An adversarial machine learning approach,N2018326,2018,doubt
Automated Security Configuration Checklist for Apple iOS Devices Using SCAP v1.2,tunji2018,2018,doubt
Automated Software Testing Based on Hierarchical State Transition Matrix for Smart TV,:000401431300122,2017,doubt
Automated support to capture and validate security requirements for mobile apps,op201697,2016,yes
Automated test input generation for android: Towards getting there in an industrial case,ng2017253,2017,doubt
Automated testing tools for mobile applications,d2014,2014,no
Automated usability testing for mobile applications,th2014149,2014,yes
Automated verification of security policies in mobile code,ghin200737,2007,yes
Automatic acceptance test case generation from essential use cases,alrudin2014246,2014,doubt
Automatic security verification of mobile app configurations,:000419409200041,2018,doubt
Automating GUI testing for android applications,01177,2011,doubt
Automating UI Tests for Mobile Applications with Formal Gesture Descriptions,enius:2014:AUT:2628363.2628391,2014,yes
Behavioral malware detection approaches for Android,n2016,2016,yes
"Breaking into the vault: Privacy, security and forensic analysis of Android vault applications",NG2017516,2017,doubt
Building a Model-Based GUI Test Automation System for Mobile Applications,20161605,2016,doubt
CANDYMAN: Classifying Android malware families by modelling dynamic traces with Markov chains,TIN2018121,2018,doubt
Categorizing Configuration Parameters of Smartphones for Energy Performance Testing,k:2014:CCP:2593501.2593504,2014,doubt
CDRep: Automatic repair of cryptographic misuses in android applications,016711,2016,doubt
Characterizing Android apps' behavior for effective detection of malapps at large scale,G201730,2017,doubt
