(In)Secure Android Debugging: Security analysis and lessons learned,thor        = {Opasiak,2019,yes
`Trust but verify' - five approaches to ensure safe medical apps,I:000361707400001,2015,yes
6 - Mobile Security and Privacy,ENG2006335,2006,no
A Case Study of Automating User Experience-Oriented Performance Testing on Smartphones,69717,2013,yes
A certified reference validation mechanism for the permission model of android,tarte2018271,2018,yes
A comparative evaluation of unit testing techniques on a mobile platform,nli2012263,2012,no
A comparative study of bug classification algorithms,gwani2014111,2014,no
A Comparative Study of Web Application Testing and Mobile Application Testing,I:000357791500048,2015,no
A comparison of mobile form controls for different tasks,NIZ201997,2019,no
A Comprehensive Mobile Application Development and Testing Lifecycle,I:000380447100009,2014,no
A conceptual framework for the comparison of fully automated GUI testing techniques,alfitano201650,2016,yes
A Context-aware Approach for Dynamic GUI Testing of Android Applications,I:000380584300038,2015,yes
A context-aware collaborative model for smartphone energy efficiency over 5G wireless networks,RIN2017352,2017,doubt
A context-sensitive offloading system using machine-learning classification algorithms for mobile cloud environment,NIOR2019503,2019,yes
A crawling approach of hierarchical GUI model generation for android applications,u20181613,2018,no
A formal android permission model based on the B method,n2017381,2017,yes
A formal approach for detection of security flaws in the android permission system,I:000441910000003,2018,yes
A Framework to Model and Analyze the Performability of Mobile Software Systems,acchi:2004:FMA:974044.974082,2004,yes
A Framework to Test Reliability and Security of Wi-Fi Device,I:000366592100215,2014,yes
A friend or a foe? Detecting malware using memory and CPU features,losevic201673,2016,yes
A generic energy optimization framework for heterogeneous platforms using scaling models,PTA201674,2016,yes
A GUI Crawling-Based Technique for Android Mobile Application Testing,alfitano2011,2011,yes
A hybrid approach of mobile malware detection in Android,NG201722,2017,yes
A machine learning based approach to detect malicious android apps using discriminant system calls,019333,2019,yes
A Mechanism of Reliable and Standalone Script Generator on Android,99083,2017,no
A Methodology for Relating Software Structure with Energy Consumption,I:000425267700012,2017,yes
A mobile malware detection method using behavior features in network traffic,NG2019,2019,yes
A multi-level usability evaluation of mobile health applications: A case study,O201879,2018,yes
A neural network approach to category validation of Android applications,orbanzadeh2013740,2013,yes
A Novel Approach to Detect Android Malware,MIN2015407,2015,yes
A novel pattern recognition system for detecting Android malware by analyzing suspicious boot sequences,DAL2018198,2018,yes
A Novel Security Framework for Managing Android Permissions Using Blockchain Technology,I:000429229200003,2018,yes
A Permission verification approach for android mobile applications,neiatakis2015192,2015,no
A practical approach to manage applications and prevent malware spreading in mobile environment,I:000382964400194,2014,yes
A pragmatic android malware detection procedure,LUMBO2017689,2017,yes
A real-time power monitoring and energy-efficient network/interface selection tool for android smartphones,YSUZ2019107,2019,yes
"A Review on mobile application energy profiling: Taxonomy, state-of-the-art, and open research issues",MAD201542,2015,no
A runtime-testing method for integer overflow detection based on metamorphic relations,i20162349,2016,no
"A Scalable, Flow-and-Context-Sensitive Taint Analysis of Android Applications.",OI2018,2018,no
A security framework for mHealth apps on Android platform,SSAIN2018191,2018,no
A standard for developing secure mobile applications,E2014524,2014,yes
A state machine for database non-functional testing,ira2014378,2014,doubt
A static technique for detecting input validation vulnerabilities in Android apps,ng2017,2017,yes
A strategy to perform coverage testing of mobile applications,lamaro2006118,2006,no
A structure similarity-based approach to malicious android app detection,i2015,2015,yes
A study on the security technology of enterprise mobile information system,ng2009385,2009,doubt
A survey of Android exploits in the wild,NG201871,2018,yes
A systematic mapping study of mobile application testing techniques,in2016334,2016,no
A Top-Down Design Approach for an Automated Testing Framework,I:000375991300004,2015,yes
A Usability Testing Experiment For A Localized Weight Loss Mobile Application,NSAR2012839,2012,yes
Adaptive random testing of mobile application,ng2010,2010,no
Adaptive Random Testing with Combinatorial Input Domain,I:000333631200001,2014,no
ADAutomation: An Activity Diagram Based Automated GUI Testing Framework for Smartphone Applications,95417,2014,yes
Addressing mobile usability and elderly users: Validating contextualized heuristics,LimaSalgado2017379,2017,yes
Advancing Energy Testing of Mobile Applications,bbarvand:2017:AET:3098344.3098511,2017,yes
"Affective-ready, contextual and automated usability test for mobile software",lho2016638,2016,yes
AGRippin: A Novel Search Based Testing Technique for Android Applications,alfitano:2015:ANS:2804345.2804348,2015,no
An adaptive and configurable protection framework against android privilege escalation threats,2019210,2019,yes
An analysis on sensitive data passive leakage in Android applications,99807,2015,doubt
An android malware detection framework-based on permissions and intents,rma2016618,2016,yes
An Android malware detection method based on AndroidManifest file,2016239,2016,yes
An Android System Vulnerability Risk Evaluation Method for Heap Overflow,80477,2016,yes
An Android-based approach for automatic unit test,06789,2014,no
An Android-based Trojan Spyware to Study the NotificationListener Service Vulnerability,UALOLA2016465,2016,yes
An Approach for Evaluating and Improving the Test Processes of Mobile Application Developments,LL201633,2016,no
An Approach for iOS Applications' Testing,I:000429846000005,2018,yes
An automated testing approach for inter-application security in android,o20148,2014,yes
An automated testing framework for testing Android mobile applications in the cloud,I:000380467200158,2014,no
An Automated Testing Platform for Mobile Applications,2016159,2016,yes
An automatically vetting mechanism for SSL error-handling vulnerability in android hybrid Web apps,u2018127,2018,yes
An empirical analysis of android apps bug and automated testing approach for Android apps,e20161,2016,yes
An empirical framework for defect prediction using machine learning techniques with Android software,lhotra20161034,2016,no
An Empirical Study on Android-Related Vulnerabilities,62350,2017,no
An environment for automated measurement of energy consumed by mobile and embedded computing devices,HAGARYAN2016103,2016,yes
An in-depth analysis of Android malware using hybrid techniques,BAKUS201825,2018,yes
An Industrial Survey and Assessment on Free Mobile Testing Tools,I:000383373300026,2016,yes
An input-centric performance model for computational offloading of mobile applications,hn20181,2018,doubt
An integrated static detection and analysis framework for android,NG201615,2016,yes
An Integrated Test Automation Framework for Testing on Heterogeneous Mobile Platforms,50017,2011,no
An interpolation-based method for the verification of security protocols,cchetto2017463,2017,no
Analysing data security requirements of android mobile banking application,atnagar201830,2018,yes
"Analysis and Evaluation of SafeDroid v2.0, a Framework for Detecting Malicious Android Applications",gyriou2018,2018,yes
Analysis of Malicious Behavior of Android Apps,NGH2016215,2016,yes
Analyzing GUI Running Fluency for Android Apps,ang:2016:AGR:2940353.2940356,2016,yes
Andro-Dumpsys: Anti-malware system based on the similarity of malware creator and malware centric information,NG2016125,2016,yes
Andro-Simnet: Android Malware Family Classification using Social Network Analysis,14216,2018,yes
AndroDialysis: Analysis of Android Intent Effectiveness in Malware Detection,IZOLLAH2017121,2017,yes
Android application classification and anomaly detection with graph-based permission patterns,KOLOVA201762,2017,yes
Android application development and testability,ych201437,2014,yes
Android Applications Repackaging Detection Techniques for Smartphone Devices,STOGI201626,2016,yes
Android architecture: attacking the weak points,NSFIELDDEVINE20125,2012,yes
Android based malware detection using a multifeature collaborative decision fusion approach,EEN2015905,2015,yes
Android Driver Vulnerability Discovery Based on Black-Box Genetic Algorithm,20171031,2017,yes
Android forensics: Automated data collection and reporting from a mobile device,OVER2013S12,2013,yes
Android inter-app communication threats and detection techniques,ANDARI2017392,2017,yes
Android malware classification base on application category using static code analysis,inordin20186853,2018,yes
"Android malware detection technology based on improved Na{\""{i}}ve Bayesian",201643,2016,yes
Android malware detection through hybrid features fusion and ensemble classifiers: the AndroPyTool framework and the OmniDroid dataset,RTIN2018,2018,yes
Android malware detection with unbiased confidence guarantees,PADOPOULOS20183,2018,yes
Android platform modeling and android app verification in the ACL2 theorem prover,ith2016183,2016,yes
Android resource usage risk assessment using hidden Markov model and online learning,SHIDI201790,2017,yes
"Android single sign-on security: Issues, taxonomy and directions",U2018402,2018,yes
Android under attack,LLEMS201313,2013,yes
Android-SRV: Scenario-Based Runtime Verification of Android Applications,ang2018239,2018,no
AndroidFuzzer: Detecting android vulnerabilities in fuzzing cloud,20153859,2015,yes
AndroSimilar: Robust signature for detecting variants of Android malware,RUKI201566,2015,yes
AndroTaint: An efficient android malware detection framework using dynamic taint analysis,76989,2017,yes
Anti-Hijack: Runtime Detection of Malware Initiated Hijacking in Android,ANKAR2016587,2016,yes
APK Auditor: Permission-based Android malware detection system,LHA20151,2015,yes
AppCheck: A Crowdsourced Testing Service for Android Applications,2017253,2017,yes
Application Security Models for Mobile Agent Systems,DONALD200643,2006,yes
Applying Security Assurance Techniques to a Mobile Phone Application: An Initial Approach,54462,2011,yes
Appwrapping Providing fine-grained security policy enforcement per method unit in android,e201736,2017,yes
"APSET, an Android aPplication SEcurity Testing tool for detecting intent-based vulnerabilities",lva2015201,2015,yes
Are mobile botnets a possible threat? The case of SlowBot Net,RINA2016268,2016,yes
ASF: Improving android security with layered structure instrumentation,ang2013147,2013,yes
Automated detection and repair of incompatible uses of runtime permissions in Android apps,lhara201867,2018,yes
