(In)Secure Android Debugging: Security analysis and lessons learned,hor      = {Opasiak,2019,doubt
`Trust but verify' - five approaches to ensure safe medical apps,:000361707400001,2015,no
6 - Mobile Security and Privacy,NG2006335,2006,doubt
A Case Study of Automating User Experience-Oriented Performance Testing on Smartphones,9717,2013,yes
A certified reference validation mechanism for the permission model of android,arte2018271,2018,no
A comparative evaluation of unit testing techniques on a mobile platform,li2012263,2012,no
A comparative study of bug classification algorithms,wani2014111,2014,no
A Comparative Study of Web Application Testing and Mobile Application Testing,:000357791500048,2015,doubt
A comparison of mobile form controls for different tasks,IZ201997,2019,no
A Comprehensive Mobile Application Development and Testing Lifecycle,:000380447100009,2014,no
A conceptual framework for the comparison of fully automated GUI testing techniques,lfitano201650,2016,yes
A Context-aware Approach for Dynamic GUI Testing of Android Applications,:000380584300038,2015,yes
A context-aware collaborative model for smartphone energy efficiency over 5G wireless networks,IN2017352,2017,yes
A context-sensitive offloading system using machine-learning classification algorithms for mobile cloud environment,IOR2019503,2019,doubt
A crawling approach of hierarchical GUI model generation for android applications,20181613,2018,yes
A formal android permission model based on the B method,2017381,2017,yes
A formal approach for detection of security flaws in the android permission system,:000441910000003,2018,yes
A Framework to Model and Analyze the Performability of Mobile Software Systems,cchi:2004:FMA:974044.974082,2004,doubt
A Framework to Test Reliability and Security of Wi-Fi Device,:000366592100215,2014,no
A friend or a foe? Detecting malware using memory and CPU features,osevic201673,2016,yes
A generic energy optimization framework for heterogeneous platforms using scaling models,TA201674,2016,doubt
A GUI Crawling-Based Technique for Android Mobile Application Testing,lfitano2011,2011,yes
A hybrid approach of mobile malware detection in Android,G201722,2017,yes
A machine learning based approach to detect malicious android apps using discriminant system calls,19333,2019,yes
A Mechanism of Reliable and Standalone Script Generator on Android,9083,2017,yes
A Methodology for Relating Software Structure with Energy Consumption,:000425267700012,2017,yes
A mobile malware detection method using behavior features in network traffic,G2019,2019,yes
A multi-level usability evaluation of mobile health applications: A case study,201879,2018,doubt
A neural network approach to category validation of Android applications,rbanzadeh2013740,2013,yes
A Novel Approach to Detect Android Malware,IN2015407,2015,yes
A novel pattern recognition system for detecting Android malware by analyzing suspicious boot sequences,AL2018198,2018,no
A Novel Security Framework for Managing Android Permissions Using Blockchain Technology,:000429229200003,2018,doubt
A Permission verification approach for android mobile applications,eiatakis2015192,2015,yes
A practical approach to manage applications and prevent malware spreading in mobile environment,:000382964400194,2014,no
A pragmatic android malware detection procedure,UMBO2017689,2017,yes
A real-time power monitoring and energy-efficient network/interface selection tool for android smartphones,SUZ2019107,2019,no
"A Review on mobile application energy profiling: Taxonomy, state-of-the-art, and open research issues",AD201542,2015,yes
A runtime-testing method for integer overflow detection based on metamorphic relations,20162349,2016,yes
"A Scalable, Flow-and-Context-Sensitive Taint Analysis of Android Applications.",I2018,2018,yes
A security framework for mHealth apps on Android platform,SAIN2018191,2018,doubt
A standard for developing secure mobile applications,2014524,2014,no
A state machine for database non-functional testing,ra2014378,2014,yes
A static technique for detecting input validation vulnerabilities in Android apps,g2017,2017,yes
A strategy to perform coverage testing of mobile applications,amaro2006118,2006,yes
A structure similarity-based approach to malicious android app detection,2015,2015,yes
A study on the security technology of enterprise mobile information system,g2009385,2009,no
A survey of Android exploits in the wild,G201871,2018,no
A systematic mapping study of mobile application testing techniques,n2016334,2016,no
A Top-Down Design Approach for an Automated Testing Framework,:000375991300004,2015,yes
A Usability Testing Experiment For A Localized Weight Loss Mobile Application,SAR2012839,2012,no
Adaptive random testing of mobile application,g2010,2010,yes
Adaptive Random Testing with Combinatorial Input Domain,:000333631200001,2014,no
ADAutomation: An Activity Diagram Based Automated GUI Testing Framework for Smartphone Applications,5417,2014,yes
Addressing mobile usability and elderly users: Validating contextualized heuristics,imaSalgado2017379,2017,doubt
Advancing Energy Testing of Mobile Applications,barvand:2017:AET:3098344.3098511,2017,doubt
"Affective-ready, contextual and automated usability test for mobile software",ho2016638,2016,doubt
AGRippin: A Novel Search Based Testing Technique for Android Applications,lfitano:2015:ANS:2804345.2804348,2015,doubt
An adaptive and configurable protection framework against android privilege escalation threats,019210,2019,doubt
An analysis on sensitive data passive leakage in Android applications,9807,2015,yes
An android malware detection framework-based on permissions and intents,ma2016618,2016,yes
An Android malware detection method based on AndroidManifest file,016239,2016,yes
An Android System Vulnerability Risk Evaluation Method for Heap Overflow,0477,2016,doubt
An Android-based approach for automatic unit test,6789,2014,no
An Android-based Trojan Spyware to Study the NotificationListener Service Vulnerability,ALOLA2016465,2016,no
An Approach for Evaluating and Improving the Test Processes of Mobile Application Developments,L201633,2016,no
An Approach for iOS Applications' Testing,:000429846000005,2018,no
An automated testing approach for inter-application security in android,20148,2014,yes
An automated testing framework for testing Android mobile applications in the cloud,:000380467200158,2014,yes
An Automated Testing Platform for Mobile Applications,016159,2016,no
An automatically vetting mechanism for SSL error-handling vulnerability in android hybrid Web apps,2018127,2018,yes
An empirical analysis of android apps bug and automated testing approach for Android apps,20161,2016,no
